NtsbNo,WeatherCondition,TimeOfDay,Investigation.Type,Event.Date,Air.carrier,Organizational Climate,Personnel Conditions,Supervisory Conditions,Operator Conditions,Unsafe Conditions,Fin_Quarter,Operating Expense per RTM,Operating Revenues_QoQ_pct,"Employment, Total Weighted Avg CY_QoQ_pct",merged_air_crash_data_weather.sky_cond_nonceil
SEA08IA080,VMC,Morning,Incident,2/13/2008,MESA AIRLINES,Safety Climate,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Skill-based Errors,1,2.19,-3.843414326,-6.68980751,CLER
DCA08IA048,VMC,Morning,Incident,3/22/2008,U.S. AIRWAYS,Safety Climate,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Perceptual Errors,1,2.03,2.139864839,-0.067085442,
DCA08IA033,VMC,Morning,Incident,1/25/2008,UNITED AIRLINES,Culture,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,1,1.63,-2.516244787,0.531487271,FEW
SEA08LA061,VMC,Evening,Accident,1/14/2008,ALASKA AIRLINES,Safety Climate,Crew Resource Management,Failed to Correct Known Problem,Adverse Mental State,Decision Errors,1,1.71,-1.835800382,0.934199838,CLER
SEA08LA061,VMC,Evening,Accident,1/14/2008,ALASKA AIRLINES,Safety Climate,Crew Resource Management,Failed to Correct Known Problem,Adverse Mental State,Decision Errors,1,1.71,-1.835800382,0.934199838,CLER
CHI08LA071,VMC,Morning,Accident,1/9/2008,NORTHWEST AIRLINES,Safety Climate,Crew Resource Management,Failed to Correct Known Problem,Mental Limitations,Decision Errors,1,1.3,0.326546716,1.156419577,
ENG08IA011,VMC,Evening,Incident,1/31/2008,AMERICAN AIRLINES,Structure,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,1,1.57,0.28922173,-0.110571148,CLER
DEN08LA055,VMC,Morning,Accident,2/3/2008,MESA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,2.19,-3.843414326,-6.68980751,FEW
DFW08IA073,VMC,Afternoon,Incident,2/18/2008,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.71,2.285927463,-0.172886305,
MIA08CA065,VMC,Morning,Accident,2/15/2008,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Decision Errors,1,1.37,1.62938257,-0.196301026,CLER
LAX08IA065,VMC,Afternoon,Incident,2/24/2008,SOUTHWEST AIRLINES,Structure,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.37,1.62938257,-0.196301026,SCAT
DFW08IA074,IMC,Morning,Incident,3/1/2008,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Physiological State,Perceptual Errors,1,1.37,1.62938257,-0.196301026,OVCT
DFW08IA074,IMC,Morning,Incident,3/1/2008,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Physiological State,Perceptual Errors,1,1.37,1.62938257,-0.196301026,OVCT
DCA08IA044,VMC,Evening,Incident,2/26/2008,UNITED AIRLINES,Safety Climate,Crew Resource Management,Failed to Correct Known Problem,Mental Limitations,Skill-based Errors,1,1.63,-2.516244787,0.531487271,
DFW08IA087,VMC,Evening,Incident,3/27/2008,CONTINENTAL AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,1,1.47,3.299756196,1.659789088,FEW
ANC08IA033,VMC,Afternoon,Incident,1/18/2008,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.63,-2.516244787,0.531487271,SCAT
NYC08CA115,IMC,Evening,Accident,2/23/2008,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.37,1.62938257,-0.196301026,
CHI08IA119,IMC,Morning,Incident,4/24/2008,MESABA AVIATION,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,2,4.65,12.63144916,0,FEW
OPS08IA011,VMC,Afternoon,Incident,7/21/2008,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,3,1.64,281.7200577,-1.132939751,FEW
OPS08IA011,VMC,Afternoon,Incident,7/21/2008,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,3,1.64,281.7200577,-1.132939751,FEW
CHI08IA182,VMC,Morning,Incident,7/7/2008,MIDWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,3,1.62,7.252038557,2.252519265,SCAT
OPS08IA007,VMC,Evening,Incident,7/3/2008,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,3,1.65,288.0732307,-0.323991798,FEW
OPS08IA007,VMC,Evening,Incident,7/3/2008,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,3,1.65,288.0732307,-0.323991798,FEW
NYC08LA234,VMC,Evening,Accident,6/28/2008,PSA AIRLINES,Safety Climate,Crew Resource Management,Failed to Correct Known Problem,Adverse Mental State,Skill-based Errors,2,1.48,1.588318893,-3.996598639,FEW
NYC08LA234,VMC,Evening,Accident,6/28/2008,PSA AIRLINES,Safety Climate,Crew Resource Management,Failed to Correct Known Problem,Adverse Mental State,Skill-based Errors,2,1.48,1.588318893,-3.996598639,FEW
DCA08FA075,VMC,Afternoon,Accident,6/14/2008,FED EX,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,2,2.19,3.377425616,1.356857874,
NYC08CA156,IMC,Evening,Accident,4/7/2008,JETBLUE AIRWAYS,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,2,1.24,5.23916851,1.320447804,SCAT
NYC08IA290,VMC,Morning,Incident,8/26/2008,KALITTA AIR LLC,Culture,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,0.69,313.92963,-3.752535497,SCAT
DCA08FA064,VMC,Morning,Accident,5/27/2008,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,2,1.88,8.503865882,-0.034164674,
ENG08IA038,VMC,Afternoon,Incident,8/6/2008,DELTA AIRLINES,Culture,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Skill-based Errors,3,1.66,277.9940151,-0.951906368,FEW
