ablated,task,bal_acc,baseline_acc,acc_drop
None (baseline),Supervisory,0.299589845915087,0.299589845915087,0.0
None (baseline),Operator,0.6586060239417771,0.6586060239417771,0.0
None (baseline),UnsafeActs,0.2833333333333333,0.2833333333333333,0.0
OrgClimate,Supervisory,0.3174260059860326,0.299589845915087,-0.017836160070945573
OrgClimate,Operator,0.6798768080074794,0.6586060239417771,-0.021270784065702264
OrgClimate,UnsafeActs,0.2846153846153846,0.2833333333333333,-0.0012820512820512775
Employment,Supervisory,0.2915253297860548,0.299589845915087,0.008064516129032251
Employment,Operator,0.6606262259619792,0.6586060239417771,-0.002020202020202033
Employment,UnsafeActs,0.2782051282051282,0.2833333333333333,0.00512820512820511
Weather,Supervisory,0.2693714665779847,0.299589845915087,0.030218379337102308
Weather,Operator,0.6152871730004217,0.6586060239417771,0.04331885094135546
Weather,UnsafeActs,0.2358974358974359,0.2833333333333333,0.047435897435897434
TimeOfDay,Supervisory,0.3058280678417027,0.299589845915087,-0.006238221926615661
TimeOfDay,Operator,0.6936937432400226,0.6586060239417771,-0.0350877192982455
TimeOfDay,UnsafeActs,0.2915598290598291,0.2833333333333333,-0.008226495726495753
SkyCondNonceil,Supervisory,0.29410264937368363,0.299589845915087,0.005487196541403394
SkyCondNonceil,Operator,0.5943078699884508,0.6586060239417771,0.06429815395332639
SkyCondNonceil,UnsafeActs,0.29284188034188036,0.2833333333333333,-0.00950854700854703
Personnel,Supervisory,0.27743598270701697,0.299589845915087,0.022153863208070057
Personnel,Operator,0.45927148068708873,0.6586060239417771,0.1993345432546884
Personnel,UnsafeActs,0.25053418803418803,0.2833333333333333,0.032799145299145294
