ablated,task,mean_drop,std_drop
None (baseline),Supervisory,0.0,0.0
None (baseline),Operator,0.0,0.0
None (baseline),Unsafe Acts,0.0,0.0
OrgClimate,Supervisory,-0.011653408368991024,0.026869860082701126
OrgClimate,Operator,-0.01052205496927215,0.03017226638873361
OrgClimate,Unsafe Acts,-0.0009756030287851972,0.0019490360819185714
Employment,Supervisory,0.005565412341063959,0.010328057421687287
Employment,Operator,-0.002219999810075764,0.002026254645688296
Employment,Unsafe Acts,0.004736750462452495,0.0023206796571246554
Weather,Supervisory,0.03399007462939292,0.01856086108416076
Weather,Operator,0.042989369968562376,0.02390032986169154
Weather,Unsafe Acts,0.04640519470077038,0.04356884761487553
TimeOfDay,Supervisory,-0.012685184741534166,0.018980882695970303
TimeOfDay,Operator,-0.03283375084573955,0.03891825722620045
TimeOfDay,Unsafe Acts,-0.006679807061934903,0.006388598601411448
SkyCondNonceil,Supervisory,0.006703151474723519,0.007751368201937814
SkyCondNonceil,Operator,0.06537026841538852,0.025165000443789363
SkyCondNonceil,Unsafe Acts,-0.009062908970623418,0.007934269919421451
Personnel,Supervisory,0.024052913709442382,0.022727843222359566
Personnel,Operator,0.19922752430189408,0.04075152082526796
Personnel,Unsafe Acts,0.02405622263191424,0.0429691433659894
