ablated,task,mean_drop,std_drop
Baseline,Supervisory,0.0,0.0
Baseline,Operator,0.0,0.0
Baseline,Unsafe Acts,0.0,0.0
Org. Climate,Supervisory,0.15712799608347447,0.12478533539515087
Org. Climate,Operator,0.0,0.0
Org. Climate,Unsafe Acts,0.0,0.0
Employment,Supervisory,0.18405239615378802,0.07325483528615719
Employment,Operator,0.0,0.0
Employment,Unsafe Acts,0.0,0.0
Weather,Supervisory,0.0,0.0
Weather,Operator,0.07497983370132903,0.0258395074786572
Weather,Unsafe Acts,0.19707904376347868,0.08293425278915927
Time of Day,Supervisory,0.0,0.0
Time of Day,Operator,0.025863306228408732,0.02819820543943688
Time of Day,Unsafe Acts,0.010708445675246885,0.07516237065491078
Sky Cond.,Supervisory,0.0,0.0
Sky Cond.,Operator,0.05876612275649554,0.02898165376983156
Sky Cond.,Unsafe Acts,0.10979027927770359,0.11721791590620005
Personnel,Supervisory,0.0,0.0
Personnel,Operator,0.2727456315656029,0.035011975358516384
Personnel,Unsafe Acts,-0.021630747752767618,0.03572402188410308
