ablated,task,mean_drop,std_drop
None (baseline),Supervisory,0.0,0.0
None (baseline),Operator,0.0,0.0
None (baseline),Unsafe Acts,0.0,0.0
OrgClimate,Supervisory,-0.005123173876299708,0.00249039435465816
OrgClimate,Operator,0.0,0.0
OrgClimate,Unsafe Acts,0.04012066761364408,0.03666368557345084
Employment,Supervisory,0.18436268160245253,0.07404489153046954
Employment,Operator,-0.015507677544957351,0.015894584154693827
Employment,Unsafe Acts,0.035282645820960995,0.048486532920113574
Weather,Supervisory,0.0,0.0
Weather,Operator,0.030613538990277137,0.013194864944107425
Weather,Unsafe Acts,-0.0009433168736430417,0.0011890622296083862
TimeOfDay,Supervisory,0.0,0.0
TimeOfDay,Operator,-0.026640812698699178,0.02116818594392959
TimeOfDay,Unsafe Acts,0.0002388050564000904,0.0022937957944181926
SkyCondNonceil,Supervisory,0.0,0.0
SkyCondNonceil,Operator,0.03332155921508069,0.02487406626242752
SkyCondNonceil,Unsafe Acts,-0.0033481887974763868,0.0023874928296561946
Personnel,Supervisory,0.0,0.0
Personnel,Operator,0.2532917630491529,0.0416091834041881
Personnel,Unsafe Acts,-0.03198202260702261,0.03544523522373686
